"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Feb 26 12:55:40 CST 2023","Sun Feb 26 12:55:50 CST 2023","10541","test_case","test_search","","","","分数线查询流程",""
"passed","Sun Feb 26 12:55:19 CST 2023","Sun Feb 26 12:55:36 CST 2023","17174","test_case","test_goods","","","","教学日历核对流程",""
